"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"170",4036,"C2",2,50,90,68,3000,16,0,2,2608,61,4600,"timeout"
"171",4036,"C2",3,50,80,64,2101,0,0,1,1758,53,2101,"win"
"172",4036,"C2",4,63,75,73.6,3000,16,200,5,2711,61,4600,"timeout"
"173",4036,"C2",5,70,90,76.8,3000,11,100,1,2544,50,4100,"timeout"
"174",4036,"C2",6,55,70,59.2,2973,12,1600,1,2595,56,4173,"fatal"
"175",4036,"C2",7,15,50,49.83333333,3000,18,700,5,2610,61,4800,"timeout"
"176",4036,"C2",8,60,60,67.8,3000,24,200,2,2679,61,5400,"timeout"
"177",4037,"C2",1,50,86,43.4,3000,14,500,1,2718,50,4400,"timeout"
"178",4037,"C2",2,42,75,44.4,3000,16,900,1,2636,50,4600,"timeout"
"179",4037,"C2",3,64,85,56.2,2533,0,900,1,2149,56,2533,"win"
"180",4037,"C2",4,38,86,40.2,3000,9,1500,1,2653,50,3900,"timeout"
"181",4037,"C2",5,13,61,7.4,3000,7,800,1,2520,50,3700,"timeout"
"182",4037,"C2",6,71,79,71.6,1547,0,600,5,1220,38,1547,"win"
"183",4037,"C2",7,0,65,28.66666667,3000,21,400,1,2542,61,5100,"timeout"
"184",4037,"C2",8,35,49,29.4,3000,18,200,1,2494,61,4800,"timeout"
"185",4038,"C2",1,15,60,26.6,3000,19,300,1,2707,50,4900,"timeout"
"186",4038,"C2",2,65,80,62,3000,12,700,3,2677,61,4200,"timeout"
"187",4038,"C2",3,50,60,52,2966,0,700,1,2585,60,2966,"win"
"188",4038,"C2",4,70,80,65,2776,0,200,1,2303,46,2776,"win"
"189",4038,"C2",5,45,65,40,1741,22,500,1,1441,45,3941,"fatal"
"190",4038,"C2",6,30,60,31,1683,19,500,1,1525,229,3583,"fatal"
"191",4038,"C2",7,75,80,75,2747,0,300,1,2204,50,2747,"win"
"192",4038,"C2",8,75,80,49,2229,0,200,2,1862,49,2229,"win"
"193",4039,"C2",1,8,7,7.8,3000,18,1100,3,2804,61,4800,"timeout"
"194",4039,"C2",2,21,18,20,3000,23,100,1,2848,61,5300,"timeout"
"195",4039,"C2",3,41,16,35.2,3000,12,400,1,2881,61,4200,"timeout"
"196",4039,"C2",4,14,3,17.6,3000,12,800,1,2837,61,4200,"timeout"
"197",4039,"C2",5,23,4,33.8,3000,26,100,1,2886,446,5600,"timeout"
"198",4039,"C2",6,32,19,38.2,1719,27,600,1,1643,45,4419,"fatal"
"199",4039,"C2",7,49,41,47.5,3000,22,400,1,2912,710,5200,"timeout"
"200",4039,"C2",8,55,43,53.8,3000,26,600,1,2912,1205,5600,"timeout"
"201",4040,"C2",1,35,24,18.2,3000,13,100,1,2643,61,4300,"timeout"
"202",4040,"C2",2,33,28,30.6,3000,15,300,2,2582,50,4500,"timeout"
"203",4040,"C2",3,53,33,49,2359,0,200,3,2128,47,2359,"win"
"204",4040,"C2",4,50,40,58,2437,0,100,3,2108,48,2437,"win"
"205",4040,"C2",5,21,0,25.2,3000,18,200,1,2706,61,4800,"timeout"
"206",4040,"C2",6,52,60,58.2,1985,0,100,1,1628,47,1985,"win"
"207",4040,"C2",7,18,19,20.83333333,3000,17,500,3,2821,50,4700,"timeout"
"208",4040,"C2",8,34,34,43,1822,0,200,1,1663,38,1822,"win"
"209",4041,"C2",1,19,9,17,3000,21,0,1,2748,50,5100,"timeout"
"210",4041,"C2",2,33,14,20.6,3000,28,0,1,2728,50,5800,"timeout"
"211",4041,"C2",3,43,42,49.8,2744,0,100,1,2288,47,2744,"win"
"212",4041,"C2",4,48,52,51.6,1956,0,100,1,1541,51,1956,"win"
"213",4041,"C2",5,55,55,56.4,2280,0,0,5,1864,45,2280,"win"
"214",4041,"C2",6,26,22,23.2,1813,14,600,1,1321,40,3213,"fatal"
"215",4041,"C2",7,16,23,27.33333333,1973,0,100,1,1585,46,1973,"win"
"216",4041,"C2",8,34,29,28.6,1605,14,300,1,1295,41,3005,"fatal"
"217",4042,"C2",1,5,10,9,3000,19,1500,1,2784,50,4900,"timeout"
"218",4042,"C2",2,4,11,5.2,3000,20,200,1,2714,50,5000,"timeout"
